val_loss,stopped_epoch,d_model,nhead,num_layers,dim_feedforward,dropout,batch_size,lr
0.414709823012352,25,64,4,6,256,0.3,64,0.000187
0.41755146822333333,25,64,8,6,256,0.3,32,0.000105
0.41757084226608276,25,128,16,3,512,0.3,128,0.000885
0.42072502422332764,25,64,4,6,256,0.3,128,0.000253
0.4229872133731842,25,64,8,6,1024,0.3,128,0.000114
0.4256466562151909,25,64,2,2,128,0.1,32,0.000389
0.4327651116847992,25,128,2,5,128,0.3,32,0.000122
0.43308598232269285,25,256,4,2,256,0.3,128,0.000468
0.4351814124584198,25,384,4,3,128,0.3,128,0.000155
0.4473800113201141,25,384,8,2,128,0.3,128,0.000936
0.44937275993824005,25,128,4,3,128,0.3,64,0.000237
0.4572557201385498,25,256,4,2,512,0.3,128,0.000322
0.5331050581932067,18,384,4,2,256,0.2,32,0.000732
1.2274895992279053,17,384,8,5,512,0.2,128,0.000844
1.2278603401184083,24,384,2,5,128,0.3,64,0.00094

==================================================

0.3770510493516922,25,128,16,5,1024,0.1,64,0.000166
0.3804327169656754,25,128,4,3,1024,0.1,32,0.000732
0.38191571044921874,22,64,16,5,256,0.1,64,0.000745
0.38379898500442505,25,384,2,6,256,0.2,64,0.000331
0.3842181953787804,25,256,2,3,512,0.1,32,0.000658
0.3846057344973087,25,256,8,6,512,0.3,32,0.000219
0.38536264607310294,25,384,16,6,512,0.2,32,0.000273
0.3859356808066368,25,128,2,6,256,0.2,32,0.000683
0.38621097421646117,20,256,8,6,128,0.1,64,0.000147
0.38765556797385214,25,384,16,2,128,0.2,32,0.000281
0.38870353507995603,25,64,2,6,1024,0.2,128,0.000849
0.3889609972238541,19,256,8,6,512,0.2,64,0.000162
0.3890779628753662,25,384,4,6,512,0.2,128,0.000202
0.3898803129196167,25,256,16,5,256,0.3,128,0.00053
0.39015289416909216,25,128,16,4,1024,0.2,32,0.000152
0.3908215777873993,25,384,8,5,512,0.2,64,0.000218
0.3919361870288849,23,384,2,2,1024,0.1,64,0.000361
0.39274665486812593,22,384,8,4,256,0.1,64,0.000253
0.39317422223091125,25,64,2,5,512,0.1,128,0.000222
0.3932990896701813,24,256,16,3,512,0.1,128,0.000634
0.3941412314772606,19,384,2,6,256,0.2,32,0.000243
0.39449241089820863,25,384,8,2,512,0.1,128,0.000869
0.39541689652204515,23,384,8,4,256,0.2,32,0.000107
0.39663832318782805,25,256,16,6,1024,0.3,64,0.00041
0.39785587465763095,24,128,2,4,1024,0.2,32,0.00026
0.39795156645774843,25,128,8,4,256,0.2,64,0.000275
0.398645245552063,22,256,8,3,256,0.1,128,0.000662
